ID,homeDistrict,workDistrict,hangRoundPlace,cuisineID,dishID,numReview
16347,1012 ,,1012 1019 2010 ,2002 2004 2009 ,1004 1034 ,13
16410,3002 ,1014 ,1003 1019 2008 ,1004 2009 3011 ,1028 1014 ,1548
16429,3005 ,2005 ,2008 2010 3005 ,1004 1008 1011 ,1015 1024 1001 ,228
16482,,,,6000 ,,184
16495,,,,1004 6000 ,,15
16542,,,,2006 2009 ,,33
16576,,,,1002 3006 ,,18
16595,,,,6000 ,1032 ,39
16597,,,,2009 3006 ,,64
16599,4011 ,3021 ,4011 ,1014 1016 2010 ,1013 ,203
16672,,,,1002 2009 ,,70
16692,,1003 ,1003 1019 ,,,433
16700,,,,1004 2009 ,1034 1009 ,22
16710,2025 ,2031 ,2025 2031 ,1004 2009 6000 ,1030 1034 1009 ,63
16763,2027 ,2027 ,1019 2001 2027 ,1002 2009 6000 ,1010 1005 1020 ,244
16777,1022 ,3007 ,1022 3007 ,1002 2009 ,,30
16798,,,,1008 3006 ,1032 ,18
16848,2024 ,2004 ,2010 3005 ,1018 2004 2009 ,1034 1010 1014 ,447
16863,,,,2009 3010 ,,13
16872,,,,,1008 1014 ,12
16874,1009 ,2005 ,1003 1009 2010 ,1009 2009 4000 ,1034 ,157
16878,3003 ,3018 ,1003 2001 2008 ,1011 3006 4001 ,1024 1036 1003 ,592
16902,2031 ,,,1004 2006 2009 ,,280
16941,3003 ,3003 ,2008 3003 3018 ,3006 3010 4001 ,1014 1015 1022 ,2798
16967,,,,2009 3001 ,1014 1034 ,61
16968,,,,2004 2009 ,,32
16983,3007 ,4001 ,,1010 2001 3006 ,1008 1009 ,318
17031,1008 ,,,2002 2009 ,,16
17033,,,2008 2010 3015 ,1002 2004 2009 ,1032 1034 1016 ,44
17041,,,,1011 3006 ,,88
17046,,,,6000 ,,34
17054,,,1008 2001 2004 ,1004 1008 1011 ,1001 1033 1005 ,160
17070,3017 ,,,1004 3006 6000 ,,82
17121,,,,1010 6000 ,1032 ,16
17127,3005 ,2016 ,,,,11
17133,3005 ,,,2006 3006 3010 ,,47
17180,,,,2001 2009 ,,20
17188,,,,2004 2009 ,,672
17208,3017 ,,,1011 2009 ,1034 1015 1009 ,368
17218,1004 ,1012 ,1003 1004 2008 ,1004 2004 ,,1086
17228,,,,1004 2009 ,,13
17230,1008 ,2008 ,1003 1011 2008 ,2006 2009 3010 ,1030 1032 1034 ,54
17237,,,,1001 2009 ,,19
17341,3004 ,1022 ,1022 3003 3004 ,1011 2009 4000 ,1009 1032 1034 ,30
17343,,,,1011 2009 ,1032 ,14
17360,,,,2009 ,1032 ,11
17381,,,,1002 2009 ,,29
17388,,,,3010 6000 ,,27
17397,,,,3006 3010 ,,25
17408,,,,1002 1011 ,,138
17410,1013 ,8011 ,,1003 1005 1008 ,1010 1018 1036 ,1043
17470,,,,1002 2004 ,,14
17587,,,,1002 2009 ,,14
17588,,,,2009 6000 ,1032 ,202
17623,3017 ,3017 ,,,1003 1014 1015 ,37
17634,,,,2009 3006 ,,58
17650,,3018 ,2008 3015 3018 ,1004 2009 ,1009 1034 ,86
17678,,,,1001 1009 ,1032 ,14
17691,,,,1004 2009 ,,21
17693,,,,6000 ,,19
17697,3007 ,1004 ,2010 2028 3007 ,1001 2004 2009 ,1034 1001 ,17
17743,,,,2009 3006 3011 ,,57
17787,,,,2006 3010 ,,24
17802,,,,1002 2001 ,,19
17864,,,1003 2005 3018 ,1009 2009 6000 ,1003 1014 1034 ,14
17890,,,,2009 6000 ,1003 ,25
17892,,,,2009 3011 ,,15
17918,,,,2009 4000 ,,64
17946,,,,1002 2009 ,,38
17950,1005 ,1003 ,1001 1003 1008 ,1011 2004 2009 ,1028 1009 1034 ,66
17953,,,,2006 2009 ,,28
18020,,,,2001 2009 ,1032 ,14
18023,,,,1002 2009 ,,19
